,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony
31,2010,2013,White,1,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
32,2010,2013,White,1,Felony - Enhanced,Property,Theft,Parole,8JD,1,1,0,True
33,2010,2013,White,0,D Felony,Property,Theft,Parole,5JD,1,1,0,True
34,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
35,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
36,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
37,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
38,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
39,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
40,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
41,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
42,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,False
43,2010,2013,Black,1,C Felony,Property,Burglary,Parole,7JD,1,1,0,True
44,2010,2013,Black,2,D Felony,Property,Burglary,Parole,6JD,0,1,0,True
45,2010,2013,White,4,C Felony,Property,Theft,Parole,1JD,0,1,0,True
46,2010,2013,White,1,D Felony,Public Order,Traffic,Parole,8JD,0,1,0,True
47,2010,2013,Black,4,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
48,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,4JD,1,1,0,True
49,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,0,1,0,False
50,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,0,1,0,False
51,2010,2013,Hispanic,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
52,2010,2013,White,3,Felony - Enhanced,Drug,Trafficking,Parole,7JD,1,1,1,True
53,2010,2013,American Native,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,True
54,2010,2013,White,1,C Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,True
55,2010,2013,American Native,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,1,True
56,2010,2013,White,0,C Felony,Property,Burglary,Parole,6JD,1,1,0,True
57,2010,2013,White,1,C Felony,Violent,Robbery,Parole,4JD,1,1,0,True
58,2010,2013,Black,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
59,2010,2013,Black,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
60,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,True
61,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,True
62,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,True
63,2010,2013,White,1,Felony - Enhanced,Property,Theft,Parole,2JD,1,0,0,True
64,2010,2013,American Native,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
65,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,True
66,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,True
67,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,True
68,2010,2013,White,1,B Felony,Other,Other Criminal,Parole,4JD,1,1,1,True
69,2010,2013,Black,2,D Felony,Property,Forgery/Fraud,Parole,1JD,1,1,0,True
70,2010,2013,White,3,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,False
71,2010,2013,Asian or Pacific Islander,1,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,unknown,0,0,0,False
72,2010,2013,Black,4,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,True
73,2010,2013,Hispanic,2,C Felony,Violent,Robbery,Parole,8JD,0,1,0,True
74,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,True
75,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,True
76,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,True
77,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,True
78,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,True
79,2010,2013,White,4,B Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,1,True
80,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Parole,4JD,0,1,1,True
81,2010,2013,White,0,C Felony,Drug,Other Drug,Parole,1JD,0,1,0,True
82,2010,2013,Black,2,D Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,0,0,0,True
83,2010,2013,White,3,D Felony,Public Order,Weapons,Parole,1JD,0,1,0,True
84,2010,2013,White,2,D Felony,Violent,Assault,Parole,1JD,0,1,0,True
85,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
86,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
87,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
88,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
89,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
90,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
91,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
92,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
93,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
94,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
95,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,False
96,2010,2013,White,1,D Felony,Drug,Drug Possession,Parole,8JD,0,1,1,True
97,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,1,1,0,False
98,2010,2013,White,4,D Felony,Property,Theft,Parole,1JD,1,1,1,True
99,2010,2013,White,1,D Felony,Violent,Other Violent,Parole,1JD,1,1,0,True
100,2010,2013,Black,1,B Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,1,1,0,True
101,2010,2013,White,3,D Felony,Property,Theft,Parole,1JD,0,1,1,True
102,2010,2013,White,1,D Felony,Property,Theft,Parole,5JD,1,1,0,True
103,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,7JD,0,1,0,True
104,2010,2013,White,3,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,1,0,0,True
105,2010,2013,White,3,D Felony,Property,Burglary,Parole,8JD,0,1,0,True
106,2010,2013,Black,2,D Felony,Property,Theft,Parole,7JD,0,1,1,True
107,2010,2013,White,1,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,1,True
108,2010,2013,Asian or Pacific Islander,1,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,True
109,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,True
110,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,True
111,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,True
112,2010,2013,Hispanic,1,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,True
113,2010,2013,Hispanic,1,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,0,True
114,2010,2013,White,2,C Felony,Property,Theft,Parole,5JD,1,1,0,True
115,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,True
116,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
117,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,False
118,2010,2013,Hispanic,2,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1,True
119,2010,2013,Black,4,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,True
120,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
121,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
122,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
123,2010,2013,Black,3,Felony - Enhanced,Property,Theft,Parole,6JD,1,1,0,True
124,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,True
125,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,True
126,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,True
127,2010,2013,Hispanic,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,True
128,2010,2013,White,2,D Felony,Drug,Drug Possession,Parole,6JD,0,1,0,True
129,2010,2013,White,2,D Felony,Drug,Drug Possession,Parole,6JD,0,1,0,True
130,2010,2013,Hispanic,4,C Felony,Drug,Trafficking,Parole,7JD,0,1,0,True
131,2010,2013,White,0,D Felony,Drug,Other Drug,Parole,1JD,1,1,0,True
132,2010,2013,White,1,Felony - Enhanced,Violent,Assault,Parole,8JD,0,1,0,True
133,2010,2013,Hispanic,1,D Felony,Drug,Trafficking,Parole,7JD,0,1,0,True
134,2010,2013,White,3,C Felony,Violent,Robbery,Parole,8JD,1,1,0,True
135,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,7JD,1,1,0,True
136,2010,2013,Black,2,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,False
137,2010,2013,Black,0,C Felony,Property,Theft,Parole,4JD,1,1,0,True
138,2010,2013,White,0,D Felony,Property,Vandalism,Parole,2JD,1,1,0,True
139,2010,2013,Hispanic,1,D Felony,Public Order,OWI,Parole,2JD,0,1,0,True
140,2010,2013,Hispanic,1,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,True
141,2010,2013,White,0,D Felony,Violent,Assault,Parole,4JD,1,1,0,True
142,2010,2013,White,0,C Felony,Drug,Trafficking,Parole,5JD,1,1,1,True
143,2010,2013,White,1,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,unknown,0,0,0,False
144,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,unknown,1,0,0,False
145,2010,2013,Black,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,1,0,0,True
146,2010,2013,Black,0,D Felony,Public Order,Weapons,Parole,7JD,0,1,0,True
147,2010,2013,Black,1,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,1,0,0,True
148,2010,2013,White,2,D Felony,Property,Theft,Parole,3JD,1,1,0,True
149,2010,2013,Black,1,D Felony,Violent,Assault,Parole,5JD,0,1,0,True
150,2010,2013,Black,0,C Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
151,2010,2013,White,1,D Felony,Drug,Drug Possession,Parole,5JD,1,1,0,True
152,2010,2013,White,0,D Felony,Drug,Other Drug,Parole,3JD,1,1,0,True
153,2010,2013,Black,1,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,1,1,0,False
154,2010,2013,White,1,C Felony,Violent,Sex,Parole,2JD,0,1,0,True
155,2010,2013,White,1,C Felony,Property,Arson,Parole,5JD,0,1,0,True
156,2010,2013,Black,1,C Felony,Property,Theft,Parole,5JD,1,1,1,True
157,2010,2013,White,3,Felony - Enhanced,Drug,Trafficking,Parole,1JD,1,1,0,True
158,2010,2013,Black,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,True
159,2010,2013,Black,2,C Felony,Property,Burglary,Parole,5JD,1,1,0,True
160,2010,2013,Black,1,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,0,True
161,2010,2013,Black,3,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,1,1,0,True
162,2010,2013,Black,3,D Felony,Property,Burglary,Parole,5JD,0,1,0,True
163,2010,2013,White,4,D Felony,Public Order,OWI,Parole,4JD,1,1,0,True
164,2010,2013,White,2,Felony - Enhanced,Drug,Trafficking,Parole,7JD,0,1,0,True
165,2010,2013,White,2,Felony - Enhanced,Drug,Trafficking,Parole,7JD,0,1,0,True
166,2010,2013,White,0,Aggravated Misdemeanor,Property,Theft,Parole,2JD,0,1,0,False
167,2010,2013,White,2,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,1,False
168,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,1,1,0,True
169,2010,2013,White,0,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,True
170,2010,2013,Black,3,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,1,1,0,True
171,2010,2013,Black,3,C Felony,Property,Theft,Parole,8JD,0,1,1,True
172,2010,2013,White,3,D Felony,Public Order,Weapons,Parole,3JD,0,1,0,True
173,2010,2013,White,3,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
174,2010,2013,White,1,C Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,True
175,2010,2013,White,2,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,0,1,0,False
176,2010,2013,Black,4,D Felony,Drug,Drug Possession,Parole,7JD,0,1,0,True
177,2010,2013,Hispanic,0,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
178,2010,2013,Hispanic,0,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
179,2010,2013,American Native,1,C Felony,Drug,Trafficking,Parole,3JD,1,1,0,True
180,2010,2013,White,2,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,1,1,0,True
181,2010,2013,White,2,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,False
182,2010,2013,White,2,D Felony,Drug,Other Drug,Parole,5JD,0,1,0,True
183,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,False
184,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,unknown,0,0,0,False
187,2010,2013,White,1,D Felony,Property,Burglary,Parole,6JD,1,1,0,True
188,2010,2013,White,1,Felony - Enhanced,Drug,Trafficking,Parole,2JD,1,1,0,True
189,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,0,1,0,False
190,2010,2013,White,2,D Felony,Violent,Assault,Parole,5JD,0,1,0,True
191,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
192,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
193,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
194,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
195,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
196,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
197,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
198,2010,2013,Black,0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
199,2010,2013,White,1,D Felony,Drug,Other Drug,Parole,7JD,0,1,0,True
200,2010,2013,White,2,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,1,0,0,True
201,2010,2013,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,False
202,2010,2013,White,0,Aggravated Misdemeanor,Public Order,Weapons,Discharged – End of Sentence,unknown,1,0,0,False
203,2010,2013,Black,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1,True
204,2010,2013,Black,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1,True
205,2010,2013,Black,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1,True
206,2010,2013,American Native,2,D Felony,Property,Burglary,Parole,1JD,0,1,1,True
207,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Traffic,Parole,8JD,0,1,0,False
208,2010,2013,White,4,D Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,True
209,2010,2013,Black,3,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
210,2010,2013,Black,3,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
211,2010,2013,Black,3,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
212,2010,2013,White,2,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,True
213,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Parole,5JD,1,1,0,True
214,2010,2013,White,1,Felony - Enhanced,Property,Theft,Parole,2JD,1,1,0,True
215,2010,2013,White,0,C Felony,Property,Arson,Parole,4JD,0,1,0,True
216,2010,2013,American Native,1,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,1,0,0,True
217,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,True
218,2010,2013,Hispanic,0,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,False
219,2010,2013,White,0,C Felony,Property,Burglary,Parole,3JD,1,1,0,True
220,2010,2013,Black,2,D Felony,Property,Burglary,Parole,5JD,0,1,0,True
221,2010,2013,Black,2,D Felony,Property,Burglary,Parole,5JD,0,1,0,True
222,2010,2013,Hispanic,4,D Felony,Public Order,OWI,Parole,3JD,1,1,1,True
223,2010,2013,Hispanic,0,C Felony,Property,Burglary,Parole,5JD,0,1,0,True
224,2010,2013,Hispanic,1,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
225,2010,2013,Hispanic,1,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,True
226,2010,2013,White,2,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
227,2010,2013,White,2,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
228,2010,2013,White,2,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,True
229,2010,2013,Hispanic,1,D Felony,Drug,Trafficking,Parole,6JD,1,1,0,True
230,2010,2013,Black,2,D Felony,Property,Theft,Parole,1JD,0,1,0,True
231,2010,2013,White,2,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,False
232,2010,2013,White,2,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,False
233,2010,2013,White,3,B Felony,Violent,Sex,Parole,7JD,0,1,0,True
234,2010,2013,White,2,D Felony,Drug,Drug Possession,Parole,8JD,1,1,0,True
235,2010,2013,White,0,D Felony,Drug,Other Drug,Parole,6JD,1,1,1,True
236,2010,2013,White,1,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,0,1,0,False
237,2010,2013,White,1,C Felony,Property,Theft,Parole,7JD,0,1,0,True
238,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,True
239,2010,2013,White,0,D Felony,Public Order,OWI,Parole,6JD,0,1,0,True
240,2010,2013,White,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
241,2010,2013,White,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
242,2010,2013,White,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,True
243,2010,2013,Black,2,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,0,0,0,True
244,2010,2013,Black,2,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,0,0,0,True
245,2010,2013,Black,3,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,False
246,2010,2013,White,4,D Felony,Drug,Trafficking,Parole,3JD,0,1,0,True
247,2010,2013,White,0,Aggravated Misdemeanor,Violent,Sex,Special Sentence,3JD,1,1,0,False
248,2010,2013,White,1,C Felony,Violent,Murder/Manslaughter,Parole,3JD,0,1,0,True
249,2010,2013,Black,1,D Felony,Drug,Trafficking,Parole,3JD,1,1,0,True
250,2010,2013,Black,1,C Felony,Violent,Assault,Parole,7JD,0,1,0,True
251,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
252,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
253,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
254,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
255,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
256,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
257,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
258,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
259,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
260,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
261,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
262,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
263,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
264,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
265,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
266,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
267,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
268,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
269,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0,False
270,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Parole,7JD,1,1,1,True
271,2010,2013,White,3,C Felony,Property,Theft,Parole,1JD,0,1,1,True
272,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,1,1,0,True
273,2010,2013,White,3,Felony - Enhanced,Public Order,Flight/Escape,Parole,1JD,1,1,1,True
274,2010,2013,White,1,Aggravated Misdemeanor,Public Order,Alcohol,Parole,8JD,0,1,0,False
275,2010,2013,White,3,D Felony,Violent,Assault,Parole,7JD,0,1,0,True
276,2010,2013,Black,2,D Felony,Public Order,Flight/Escape,Parole,5JD,1,1,0,True
277,2010,2013,White,3,C Felony,Drug,Trafficking,Parole,4JD,1,1,0,True
278,2010,2013,White,2,C Felony,Property,Theft,Parole,1JD,1,1,0,True
279,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,True
280,2010,2013,White,1,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
281,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,5JD,1,1,0,True
282,2010,2013,Black,1,D Felony,Public Order,OWI,Parole,3JD,1,1,0,True
283,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,True
284,2010,2013,White,3,C Felony,Property,Arson,Parole,4JD,0,1,0,True
285,2010,2013,White,1,Felony - Enhanced,Violent,Murder/Manslaughter,Parole,2JD,0,1,0,True
286,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,7JD,1,1,0,True
