,Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
13,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
14,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
15,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
16,2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,763.0,Serious Misdemeanor,Violent,Assault,No,New,Male
17,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,Yes,598.0,,,,Yes,Tech,Female
18,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
19,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
20,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
21,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,,,,,Yes,No Recidivism,Male
22,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,,,,,Yes,No Recidivism,Male
23,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
24,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
25,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
26,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
27,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,399.0,D Felony,Drug,Trafficking,Yes,New,Male
28,2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Female
29,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,,,,,Yes,No Recidivism,Male
30,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
31,2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,497.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
32,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,147.0,,,,Yes,Tech,Male
33,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,263.0,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
34,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
35,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
36,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
37,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
38,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
39,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
40,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
41,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
42,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,467.0,D Felony,Property,Burglary,No,New,Male
43,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,160.0,,,,Yes,Tech,Male
44,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
45,2010,2013,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Male
46,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,,,,,Yes,No Recidivism,Male
47,2010,2013,Black - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
48,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,314.0,,,,Yes,Tech,Male
49,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,,,,,Yes,No Recidivism,Male
50,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,,,,,Yes,No Recidivism,Male
51,2010,2013,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
52,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,898.0,Aggravated Misdemeanor,Violent,Assault,Yes,New,Female
53,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
54,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,212.0,Serious Misdemeanor,Violent,Assault,No,New,Male
55,2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
56,2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,166.0,,,,Yes,Tech,Male
57,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,653.0,D Felony,Property,Forgery/Fraud,Yes,New,Male
58,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
59,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
60,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
61,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
62,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
63,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,582.0,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,New,Male
64,2010,2013,American Indian or Alaska Native - Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
65,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
66,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
67,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
68,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,629.0,,,,Yes,Tech,Female
69,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,796.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
70,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,272.0,Aggravated Misdemeanor,Public Order,Traffic,No,New,Male
71,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
72,2010,2013,Black - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,455.0,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
73,2010,2013,White - Hispanic,35-44,C Felony,Violent,Robbery,Parole,8JD,No,,,,,Yes,No Recidivism,Male
74,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
75,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
76,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
77,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
78,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
79,2010,2013,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
80,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,,,,,Yes,No Recidivism,Female
81,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,,,,,Yes,No Recidivism,Male
82,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
83,2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,,,,,Yes,No Recidivism,Male
84,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Male
85,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
86,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
87,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
88,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
89,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
90,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
91,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
92,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
93,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
94,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
95,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
96,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,8JD,No,,,,,Yes,No Recidivism,Female
97,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,323.0,D Felony,Violent,Assault,Yes,New,Male
98,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Parole,1JD,Yes,593.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Female
99,2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Parole,1JD,Yes,737.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
100,2010,2013,Black - Non-Hispanic,25-34,B Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,846.0,,,,Yes,Tech,Male
101,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Female
102,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,5JD,Yes,216.0,,,,Yes,Tech,Male
103,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
104,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,874.0,D Felony,Public Order,Weapons,No,New,Male
105,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,8JD,No,,,,,Yes,No Recidivism,Male
106,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,No,,,,,Yes,No Recidivism,Female
107,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
108,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,146.0,,,,No,Tech,Male
109,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
110,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
111,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
112,2010,2013,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,449.0,,,,Yes,Tech,Male
113,2010,2013,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
114,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,Yes,127.0,,,,Yes,Tech,Male
115,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,403.0,D Felony,Drug,Drug Possession,Yes,New,Male
116,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,1085.0,,,,Yes,Tech,Male
117,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,949.0,D Felony,Property,Theft,No,New,Male
118,2010,2013,White - Hispanic,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
119,2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
120,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
121,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
122,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
123,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,734.0,,,,Yes,Tech,Male
124,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
125,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
126,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
127,2010,2013,White - Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
128,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,,,,,Yes,No Recidivism,Male
129,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,,,,,Yes,No Recidivism,Male
130,2010,2013,White - Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
131,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,1JD,Yes,494.0,Serious Misdemeanor,Public Order,OWI,Yes,New,Male
132,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Violent,Assault,Parole,8JD,No,,,,,Yes,No Recidivism,Male
133,2010,2013,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
134,2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,46.0,,,,Yes,Tech,Male
135,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,541.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
136,2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,324.0,D Felony,Public Order,OWI,No,New,Male
137,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,4JD,Yes,343.0,,,,Yes,Tech,Male
138,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,58.0,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Male
139,2010,2013,White - Hispanic,25-34,D Felony,Public Order,OWI,Parole,2JD,No,,,,,Yes,No Recidivism,Male
140,2010,2013,White - Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
141,2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,16.0,,,,Yes,Tech,Male
142,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,273.0,,,,Yes,Tech,Female
143,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
144,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,353.0,Aggravated Misdemeanor,Public Order,OWI,No,New,Male
145,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,555.0,D Felony,Drug,Trafficking,No,New,Male
146,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Parole,7JD,No,,,,,Yes,No Recidivism,Male
147,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,921.0,Aggravated Misdemeanor,Violent,Assault,No,New,Male
148,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,3JD,Yes,516.0,,,,Yes,Tech,Male
149,2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,5JD,No,,,,,Yes,No Recidivism,Male
150,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,235.0,B Felony,Drug,Trafficking,Yes,New,Male
151,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,169.0,,,,Yes,Tech,Male
152,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,182.0,,,,Yes,Tech,Male
153,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,90.0,,,,Yes,Tech,Male
154,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,2JD,No,,,,,Yes,No Recidivism,Male
155,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,5JD,No,,,,,Yes,No Recidivism,Male
156,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,442.0,Aggravated Misdemeanor,Property,Theft,Yes,New,Female
157,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,194.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
158,2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
159,2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,174.0,,,,Yes,Tech,Male
160,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Male
161,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,Yes,880.0,,,,Yes,Tech,Male
162,2010,2013,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,5JD,No,,,,,Yes,No Recidivism,Male
163,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,4JD,Yes,134.0,,,,Yes,Tech,Male
164,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
165,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
166,2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,,,,,Yes,No Recidivism,Male
167,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,283.0,D Felony,Property,Theft,No,New,Female
168,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,95.0,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
169,2010,2013,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,547.0,,,,No,Tech,Male
170,2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,Yes,1037.0,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Male
171,2010,2013,Black - Non-Hispanic,45-54,C Felony,Property,Theft,Parole,8JD,No,,,,,Yes,No Recidivism,Female
172,2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,3JD,No,,,,,Yes,No Recidivism,Male
173,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
174,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,500.0,C Felony,Violent,Robbery,No,New,Male
175,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,No,,,,,Yes,No Recidivism,Male
176,2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Drug Possession,Parole,7JD,No,,,,,Yes,No Recidivism,Male
177,2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
178,2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
179,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,341.0,,,,Yes,Tech,Male
180,2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,Yes,511.0,,,,Yes,Tech,Male
181,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,1035.0,Aggravated Misdemeanor,Property,Theft,No,New,Male
182,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Other Drug,Parole,5JD,No,,,,,Yes,No Recidivism,Male
183,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
184,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
185,2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
186,2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
187,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,Yes,293.0,,,,Yes,Tech,Male
